630,,account,date,description,amount,category,`
,2024,CIBC_CHECKING,2022-11-07,Internet Banking E-TRANSFER 104292974768 Emery Ma,110.94,,TRUE
,2025,CIBC_CHECKING,2022-11-07,Internet Banking INTERNET TRANSFER 000000200411,-110.94,,TRUE
,273,CIBC_CC,2022-11-04,"THE DELLY VANCOUVER, BC",9.4,,TRUE
,2026,CIBC_CHECKING,2022-11-04,Internet Banking INTERNET TRANSFER 000000209913,129.07,,TRUE
,2027,CIBC_CHECKING,2022-11-03,Electronic Funds Transfer PREAUTHORIZED DEBIT University of B BUSINESS PAD,840,,TRUE
,2028,CIBC_CHECKING,2022-11-03,Internet Banking INTERNET BILL PAY 000000200169 BCIT - TUITION PAYMENTS,1614.24,,TRUE
,2029,CIBC_CHECKING,2022-11-03,Internet Banking INTERNET TRANSFER 000000209665,-1614.24,,TRUE
,2030,CIBC_CHECKING,2022-11-03,Internet Banking E-TRANSFER 010612924417 NANG SAY,-100,,TRUE
,2031,CIBC_CHECKING,2022-11-02,Internet Banking INTERNET TRANSFER 000000219694,-840,,TRUE
,274,CIBC_CC,2022-11-01,"MY HOME CUISINE VANCOUVER, BC",10.5,,TRUE
,275,CIBC_CC,2022-11-01,"DAVIE STREET YIG VANCOUVER, BC",109.17,,TRUE
,276,CIBC_CC,2022-11-01,PAYMENT THANK YOU/PAIEMEN T MERCI,-283.23,,TRUE
,277,CIBC_CC,2022-10-31,"CHOICES YALETOWN # 907 VANCOUVER, BC",3.42,,TRUE
,278,CIBC_CC,2022-10-31,"WILDLIFE THRIFT STORE VANCOUVER, BC",10.5,,TRUE
,279,CIBC_CC,2022-10-31,"JOLLIBEE-BROADWAY AND VANCOUVER, BC",43.3,,TRUE
,280,CIBC_CC,2022-10-31,"AIR CAN* 0142160066586 AIRCANADA.COM, MB",226.01,,TRUE
,2032,CIBC_CHECKING,2022-10-31,Branch Transaction SERVICE CHARGE DISCOUNT,-13.2,,TRUE
,2033,CIBC_CHECKING,2022-10-31,Branch Transaction SERVICE CHARGE ADD TXN$6.25;MONTHLY$6.95 RECORD-KEEPING N/A,13.2,,TRUE
,2034,CIBC_CHECKING,2022-10-31,Internet Banking E-TRANSFER 010581838224 ANDREW HUANG,-55,,TRUE
,2035,CIBC_CHECKING,2022-10-31,Internet Banking INTERNET TRANSFER 000000209698,-60,,TRUE
,2036,CIBC_CHECKING,2022-10-31,Internet Banking INTERNET TRANSFER 000000223854,283.23,,TRUE
,2037,CIBC_CHECKING,2022-10-31,Internet Banking INTERNET TRANSFER 000000223684,-230,,TRUE
,281,CIBC_CC,2022-10-28,PAYMENT THANK YOU/PAIEMEN T MERCI,-5.65,,TRUE
,282,CIBC_CC,2022-10-28,"MR. GREEK DONAIR TOWN VANCOUVER, BC",35.65,,TRUE
,283,CIBC_CC,2022-10-28,"UBC BOOKSTORE VANCOUVER, BC",8.38,,TRUE
,284,CIBC_CC,2022-10-27,PAYMENT THANK YOU/PAIEMEN T MERCI,-274.02,,TRUE
,2038,CIBC_CHECKING,2022-10-27,Internet Banking INTERNET TRANSFER 000000118711,5.65,,TRUE
,2039,CIBC_CHECKING,2022-10-27,Internet Banking INTERNET TRANSFER 000000101746,-6,,TRUE
,285,CIBC_CC,2022-10-26,"CHATIME VANCOUVER, BC",7.61,,TRUE
,2040,CIBC_CHECKING,2022-10-26,Internet Banking INTERNET TRANSFER 000000220396,274.02,,TRUE
,2041,CIBC_CHECKING,2022-10-26,Internet Banking INTERNET TRANSFER 000000220342,-200,,TRUE
,286,CIBC_CC,2022-10-25,"SHARE TEA VANCOUVER, BC",15.54,,TRUE
,287,CIBC_CC,2022-10-25,"CHOICES YALETOWN # 907 VANCOUVER, BC",12.37,,TRUE
,288,CIBC_CC,2022-10-25,PAYMENT THANK YOU/PAIEMEN T MERCI,-92.3,,TRUE
,289,CIBC_CC,2022-10-24,"SP CAFE AU CLAY VANCOUVER, BC",157.5,,TRUE
,290,CIBC_CC,2022-10-24,"SAVE ON FOODS #993 VANCOUVER, BC",42.62,,TRUE
,291,CIBC_CC,2022-10-24,"KOODO MOBILE PAC 111-1111111, AB",92.3,,TRUE
,292,CIBC_CC,2022-10-24,PAYMENT THANK YOU/PAIEMEN T MERCI,-67.93,,TRUE
,2042,CIBC_CHECKING,2022-10-24,Internet Banking E-TRANSFER 010577602926 ANDREW HUANG,-75,,TRUE
,2043,CIBC_CHECKING,2022-10-24,Internet Banking E-TRANSFER 104277789438 Calvin Du,8.68,,TRUE
,2044,CIBC_CHECKING,2022-10-24,Internet Banking INTERNET TRANSFER 000000118701,-8.68,,TRUE
,2045,CIBC_CHECKING,2022-10-24,Internet Banking INTERNET TRANSFER 000000112039,92.3,,TRUE
,2046,CIBC_CHECKING,2022-10-24,Internet Banking INTERNET TRANSFER 000000111871,-92.3,,TRUE
,293,CIBC_CC,2022-10-21,"UPPER CASE VANCOUVER, BC",3.15,,TRUE
,2047,CIBC_CHECKING,2022-10-21,Internet Banking INTERNET TRANSFER 000000206304,-50,,TRUE
,2048,CIBC_CHECKING,2022-10-21,Internet Banking INTERNET TRANSFER 000000206220,67.93,,TRUE
,294,CIBC_CC,2022-10-20,"SQ *THIRSTYYY - UBC ON CA Vancouver, BC",2.09,,TRUE
,295,CIBC_CC,2022-10-20,"UBC FARM VANCOUVER, BC",6.35,,TRUE
,2049,CIBC_CHECKING,2022-10-20,Internet Banking E-TRANSFER 104275702511 samantha wu,16.81,,TRUE
,296,CIBC_CC,2022-10-19,"SHOPPERS DRUG MART #22 VANCOUVER, BC",27.46,,TRUE
,297,CIBC_CC,2022-10-18,"BUBBLE WAFFLE CAFE VANCOUVER, BC",14.18,,TRUE
,298,CIBC_CC,2022-10-18,PAYMENT THANK YOU/PAIEMEN T MERCI,-234.99,,TRUE
,299,CIBC_CC,2022-10-17,"LONDON DRUGS 50 VANCOUVER, BC",14.7,,TRUE
,300,CIBC_CC,2022-10-17,"CHATIME VANCOUVER, BC",8.37,,TRUE
,301,CIBC_CC,2022-10-17,"BC LIQUOR #177 VANCOUVER, BC",62.28,,TRUE
,2050,CIBC_CHECKING,2022-10-17,Point of Sale - Interac RETAIL PURCHASE 000001946002 YUMMY TO GO,9.98,,TRUE
,2051,CIBC_CHECKING,2022-10-17,Internet Banking E-TRANSFER 010602025095 CALVIN G DU,-31.14,,TRUE
,2052,CIBC_CHECKING,2022-10-17,Internet Banking INTERNET TRANSFER 000000221328,234.99,,TRUE
,2053,CIBC_CHECKING,2022-10-17,Internet Banking INTERNET TRANSFER 000000217499,-234.99,,TRUE
,302,CIBC_CC,2022-10-14,"H-MART DOWNTOWN VANCOUVER, BC",17.48,,TRUE
,303,CIBC_CC,2022-10-14,"H-MART DOWNTOWN VANCOUVER, BC",89.57,,TRUE
,304,CIBC_CC,2022-10-14,"UBC BOOKSTORE VANCOUVER, BC",3.93,,TRUE
,305,CIBC_CC,2022-10-13,"NOFRILLS JOTI'S #3403 VANCOUVER, BC",21.95,,TRUE
,306,CIBC_CC,2022-10-12,"SHOPPERS DRUG MART #22 VANCOUVER, BC",3.99,,TRUE
,307,CIBC_CC,2022-10-12,PAYMENT THANK YOU/PAIEMEN T MERCI,-205.44,,TRUE
,308,CIBC_CC,2022-10-11,"SQ *RAIN OR SHINE HOMEMAD Vancouver, BC",8.45,,TRUE
,309,CIBC_CC,2022-10-11,"SHOPPERS DRUG MART #02 VANCOUVER, BC",18.97,,TRUE
,310,CIBC_CC,2022-10-11,"TIM HORTONS #2305 604-872-0348, BC",9.44,,TRUE
,311,CIBC_CC,2022-10-11,"NOFRILLS JOTI'S #3403 VANCOUVER, BC",65.71,,TRUE
,312,CIBC_CC,2022-10-11,"TIM HORTONS #9236 604-822-0682, BC",11.11,,TRUE
,313,CIBC_CC,2022-10-11,"CHOICES YALETOWN # 907 VANCOUVER, BC",4.28,,TRUE
,2054,CIBC_CHECKING,2022-10-11,Internet Banking E-TRANSFER 104265981555 Calvin Du,28.6,,TRUE
,2055,CIBC_CHECKING,2022-10-11,Internet Banking INTERNET TRANSFER 000000129372,-28.6,,TRUE
,2056,CIBC_CHECKING,2022-10-11,Internet Banking E-TRANSFER 104265157804 One-time contact,18,,TRUE
,2057,CIBC_CHECKING,2022-10-11,Internet Banking INTERNET TRANSFER 000000106209,205.44,,TRUE
,2058,CIBC_CHECKING,2022-10-11,Internet Banking INTERNET TRANSFER 000000106168,-205.44,,TRUE
,314,CIBC_CC,2022-10-07,"TIM HORTONS #2305 604-872-0348, BC",4.91,,TRUE
,2059,CIBC_CHECKING,2022-10-07,Internet Banking E-TRANSFER 010596892455 AMS of UBC,-5,,TRUE
,315,CIBC_CC,2022-10-06,"TIM HORTONS #9236 604-822-0682, BC",7.95,,TRUE
,316,CIBC_CC,2022-10-05,"STARBUCKS 800-782-7282 800-782-7282, ON",25,,TRUE
,317,CIBC_CC,2022-10-05,"GROCERY CHECKOUT VANCOUVER, BC",10.54,,TRUE
,318,CIBC_CC,2022-10-05,"SAFEWAY #4998 VANCOUVER, BC",22.21,,TRUE
,2060,CIBC_CHECKING,2022-10-05,Internet Banking E-TRANSFER 104260971686 Calvin Du,14.46,,TRUE
,2061,CIBC_CHECKING,2022-10-05,Internet Banking INTERNET TRANSFER 000000104864,-100,,TRUE
,319,CIBC_CC,2022-10-04,"TIM HORTONS #2305 604-872-0348, BC",6.58,,TRUE
,320,CIBC_CC,2022-10-04,"UBC EPAYMENT 604-822-2008, BC",20,,TRUE
,321,CIBC_CC,2022-10-04,"NORI BENTO & UDON VANCOUVER, BC",14.64,,TRUE
,322,CIBC_CC,2022-10-04,"BOOSTER JUICE VANCOUVER, BC",3.07,,TRUE
,323,CIBC_CC,2022-10-04,PAYMENT THANK YOU/PAIEMEN T MERCI,-39.08,,TRUE
,2062,CIBC_CHECKING,2022-10-04,Electronic Funds Transfer PREAUTHORIZED DEBIT University of B BUSINESS PAD,840,,TRUE
,324,CIBC_CC,2022-10-03,"CHOICES YALETOWN # 907 VANCOUVER, BC",10.98,,TRUE
,325,CIBC_CC,2022-10-03,"TIM HORTONS #2305 VANCOUVER, BC",9.59,,TRUE
,2063,CIBC_CHECKING,2022-10-03,Electronic Funds Transfer PREAUTHORIZED DEBIT EQUITABLE BANK,5000,,TRUE
,2064,CIBC_CHECKING,2022-10-03,Electronic Funds Transfer PREAUTHORIZED DEBIT Wealthsimple Investments Inc.,30,,TRUE
,2065,CIBC_CHECKING,2022-10-03,Internet Banking INTERNET TRANSFER 000000126057,-5100,,TRUE
,2066,CIBC_CHECKING,2022-10-03,Internet Banking INTERNET TRANSFER 000000132958,39.08,,TRUE
,326,CIBC_CC,2022-09-29,"HUNGRYPANDA TECH LTD. RICHMOND, BC",0.99,,TRUE
,327,CIBC_CC,2022-09-29,"SQ *STREET DOGS Vancouver, BC",13.28,,TRUE
,2067,CIBC_CHECKING,2022-09-29,Branch Transaction SERVICE CHARGE DISCOUNT,-16.95,,TRUE
,2068,CIBC_CHECKING,2022-09-29,Branch Transaction SERVICE CHARGE CAPPED MONTHLY FEE$16.95 RECORD-KEEPING N/A,16.95,,TRUE
,2069,CIBC_CHECKING,2022-09-29,Internet Banking E-TRANSFER 010563775328 NANG SAY,-700,,TRUE
,328,CIBC_CC,2022-09-28,"SHOWPASS TICKETS-ZBN CALGARY, AB",5,,TRUE
,329,CIBC_CC,2022-09-28,"SQ *SESAME ! UBC Vancouver, BC",14.33,,TRUE
,330,CIBC_CC,2022-09-28,"TIM HORTONS #9236 604-822-0682, BC",3.73,,TRUE
,331,CIBC_CC,2022-09-28,"TIM HORTONS - FOREST VANCOUVER, BC",7.8,,TRUE
,332,CIBC_CC,2022-09-28,"SAFEWAY #4998 VANCOUVER, BC",12.06,,TRUE
,333,CIBC_CC,2022-09-27,"SQ *TACOMIO GOURMET TACOS Vancouver, BC",15.65,,TRUE
,334,CIBC_CC,2022-09-27,PAYMENT THANK YOU/PAIEMEN T MERCI,-100,,TRUE
,335,CIBC_CC,2022-09-27,"SHOPPERS DRUG MART #22 VANCOUVER, BC",31.56,,TRUE
,336,CIBC_CC,2022-09-26,"AMZN Mktp CA*1U94C7L42 WWW.AMAZON.CA, ON",28.55,,TRUE
,337,CIBC_CC,2022-09-26,"AMZN Mktp CA*1U0WK5PQ0 WWW.AMAZON.CA, ON",9.99,,TRUE
,338,CIBC_CC,2022-09-26,"H-MART EXPRESS UBC VANCOUVER, BC",6.29,,TRUE
,339,CIBC_CC,2022-09-26,"PEARL FEVER TEA HOUSE VANCOUVER, BC",7.82,,TRUE
,340,CIBC_CC,2022-09-26,PAYMENT THANK YOU/PAIEMEN T MERCI,-56.05,,TRUE
,341,CIBC_CC,2022-09-26,"MY HOME CUISINE VANCOUVER, BC",13,,TRUE
,342,CIBC_CC,2022-09-26,"UBC BOOKSTORE VANCOUVER, BC",4.19,,TRUE
,343,CIBC_CC,2022-09-26,"SAVE ON FOODS #993 VANCOUVER, BC",32.71,,TRUE
,344,CIBC_CC,2022-09-26,"UBC BOOKSTORE VANCOUVER, BC",3.24,,TRUE
,2070,CIBC_CHECKING,2022-09-26,Internet Banking INTERNET TRANSFER 000000130120,100,,TRUE
,2071,CIBC_CHECKING,2022-09-26,Internet Banking E-TRANSFER 010561279768 ANDREW HUANG,-50,,TRUE
,2072,CIBC_CHECKING,2022-09-26,Internet Banking INTERNET TRANSFER 000000237435,100.82,,TRUE
,2073,CIBC_CHECKING,2022-09-26,Internet Banking INTERNET TRANSFER 000000237315,-200,,TRUE
,345,CIBC_CC,2022-09-23,"NOFRILLS JOTI'S #3403 VANCOUVER, BC",34.84,,TRUE
,2074,CIBC_CHECKING,2022-09-23,Internet Banking INTERNET TRANSFER 000000113675,56.05,,TRUE
,2075,CIBC_CHECKING,2022-09-23,Internet Banking INTERNET TRANSFER 000000113647,-56.05,,TRUE
,346,CIBC_CC,2022-09-22,"A&W CAMBIE #771 VANCOUVER, BC",13.49,,TRUE
,347,CIBC_CC,2022-09-22,"SHOPPERS DRUG MART #22 VANCOUVER, BC",16.04,,TRUE
,348,CIBC_CC,2022-09-22,PAYMENT THANK YOU/PAIEMEN T MERCI,-117.44,,TRUE
,349,CIBC_CC,2022-09-21,"SAFEWAY #4998 VANCOUVER, BC",11.43,,TRUE
,2076,CIBC_CHECKING,2022-09-21,Internet Banking INTERNET TRANSFER 000000223931,-87.49,,TRUE
,2077,CIBC_CHECKING,2022-09-21,Internet Banking INTERNET TRANSFER 000000223466,117.44,,TRUE
,350,CIBC_CC,2022-09-20,"SQ *JJ BEAN COFFEE ROASTE Vancouver, BC",6.01,,TRUE
,351,CIBC_CC,2022-09-20,PAYMENT THANK YOU/PAIEMEN T MERCI,-86,,TRUE
,352,CIBC_CC,2022-09-20,PAYMENT THANK YOU/PAIEMEN T MERCI,-13.15,,TRUE
,353,CIBC_CC,2022-09-19,"WINNERS 358 VANCOUVER, BC",78.39,,TRUE
,354,CIBC_CC,2022-09-19,"SHARE TEA VANCOUVER, BC",7.61,,TRUE
,355,CIBC_CC,2022-09-19,"CHOICES YALETOWN # 907 VANCOUVER, BC",7.66,,TRUE
,356,CIBC_CC,2022-09-19,PAYMENT THANK YOU/PAIEMEN T MERCI,-7.96,,TRUE
,357,CIBC_CC,2022-09-19,"TIM HORTONS #9236 604-822-0682, BC",4.4,,TRUE
,358,CIBC_CC,2022-09-19,"GROCERY CHECKOUT VANCOUVER, BC",5.49,,TRUE
,359,CIBC_CC,2022-09-19,"UBC BOOKSTORE VANCOUVER, BC",3.56,,TRUE
,2078,CIBC_CHECKING,2022-09-19,Internet Banking E-TRANSFER 104242801628 Edison Yue,15,,TRUE
,2079,CIBC_CHECKING,2022-09-19,Internet Banking INTERNET TRANSFER 000000209323,-100,,TRUE
,2080,CIBC_CHECKING,2022-09-19,Internet Banking INTERNET TRANSFER 000000209109,86,,TRUE
,2081,CIBC_CHECKING,2022-09-19,Internet Banking INTERNET TRANSFER 000000233934,13.15,,TRUE
,2082,CIBC_CHECKING,2022-09-16,Internet Banking INTERNET TRANSFER 000000103583,7.96,,TRUE
,360,CIBC_CC,2022-09-15,PAYMENT THANK YOU/PAIEMEN T MERCI,-165.56,,TRUE
,361,CIBC_CC,2022-09-15,"IMAGINUS CANADA LIMITED TORONTO, ON",10.08,,TRUE
,362,CIBC_CC,2022-09-15,"SHOPPERS DRUG MART #22 VANCOUVER, BC",20.58,,TRUE
,2083,CIBC_CHECKING,2022-09-15,Internet Banking E-TRANSFER 104239461485 Andrew Huang,30,,TRUE
,363,CIBC_CC,2022-09-14,"KOODO MOBILE PAC 111-1111111, AB",109.9,,TRUE
,2084,CIBC_CHECKING,2022-09-14,Electronic Funds Transfer PREAUTHORIZED DEBIT EQUITABLE BANK,5880,,TRUE
,2085,CIBC_CHECKING,2022-09-14,Internet Banking INTERNET TRANSFER 000000100922,165.56,,TRUE
,364,CIBC_CC,2022-09-13,"STARBUCKS 800-782-7282 800-782-7282, ON",25,,TRUE
,365,CIBC_CC,2022-09-13,PAYMENT THANK YOU/PAIEMEN T MERCI,-49.29,,TRUE
,366,CIBC_CC,2022-09-13,PAYMENT THANK YOU/PAIEMEN T MERCI,-335.89,,TRUE
,2086,CIBC_CHECKING,2022-09-13,Electronic Funds Transfer PREAUTHORIZED DEBIT University of B BUSINESS PAD,2267.58,,TRUE
,2087,CIBC_CHECKING,2022-09-13,Internet Banking INTERNET TRANSFER 000000137252,-5880,,TRUE
,2088,CIBC_CHECKING,2022-09-13,Internet Banking E-TRANSFER 104237059052 Andrew Huang,20,,TRUE
,367,CIBC_CC,2022-09-12,"ESTORE ONTHEHUB COM www kivuto co, DE 36.65 USD @ 1.344884",49.29,,TRUE
,368,CIBC_CC,2022-09-12,"H-MART EXPRESS UBC VANCOUVER, BC",27.07,,TRUE
,369,CIBC_CC,2022-09-12,"BUBBLE WAFFLE CAFE VANCOUVER, BC",16.22,,TRUE
,370,CIBC_CC,2022-09-12,"SAVE ON FOODS #937 VANCOUVER, BC",24.97,,TRUE
,2089,CIBC_CHECKING,2022-09-12,Internet Banking INTERNET TRANSFER 000000118590,49.29,,TRUE
,2090,CIBC_CHECKING,2022-09-12,Internet Banking INTERNET TRANSFER 000000139764,335.89,,TRUE
,2091,CIBC_CHECKING,2022-09-12,Internet Banking INTERNET TRANSFER 000000139702,-335.89,,TRUE
,371,CIBC_CC,2022-09-09,"SQ *PERFECTO CAFE Vancouver, BC",8.9,,TRUE
,372,CIBC_CC,2022-09-09,"THEATRE UNDER THE STARS VANCOUVER, BC",27,,TRUE
,373,CIBC_CC,2022-09-09,"NOFRILLS JOTI'S #3403 VANCOUVER, BC",6.39,,TRUE
,374,CIBC_CC,2022-09-08,"IKEA RICHMOND RICHMOND, BC",148.41,,TRUE
,375,CIBC_CC,2022-09-08,"TIM HORTONS #9236 604-822-0682, BC",4.99,,TRUE
,376,CIBC_CC,2022-09-08,"IKEA RICHMOND RICHMOND, BC",35.42,,TRUE
,377,CIBC_CC,2022-09-08,"SAFEWAY #4998 VANCOUVER, BC",13.59,,TRUE
,2092,CIBC_CHECKING,2022-09-08,Internet Banking E-TRANSFER 010579328897 ANDREW HUANG,-70,,TRUE
,378,CIBC_CC,2022-09-07,"MCDONALD'S #40180 Q04 VANCOUVER, BC",3.45,,TRUE
,379,CIBC_CC,2022-09-07,"CHOICES YALETOWN # 907 VANCOUVER, BC",2.23,,TRUE
,380,CIBC_CC,2022-09-07,PAYMENT THANK YOU/PAIEMEN T MERCI,-204.92,,TRUE
,381,CIBC_CC,2022-09-07,"CHICKEN WORLD VANCOUVER, BC",18.15,,TRUE
,382,CIBC_CC,2022-09-07,"SAFEWAY #4998 VANCOUVER, BC",20.44,,TRUE
,2093,CIBC_CHECKING,2022-09-07,Internet Banking INTERNET TRANSFER 000000216872,-2355.98,,TRUE
,383,CIBC_CC,2022-09-06,"LONDON DRUGS 50 VANCOUVER, BC",8.39,,TRUE
,384,CIBC_CC,2022-09-06,FLAIR DIRECT0000000000123 KELOWNA,98,,TRUE
,385,CIBC_CC,2022-09-06,"SHARETEA VANCOUVER, BC",7.09,,TRUE
,386,CIBC_CC,2022-09-06,"SAVE ON FOODS #993 VANCOUVER, BC",44.73,,TRUE
,387,CIBC_CC,2022-09-06,"LONDON DRUGS 50 VANCOUVER, BC",25.37,,TRUE
,388,CIBC_CC,2022-09-06,"SAFEWAY #4998 VANCOUVER, BC",21.06,,TRUE
,2094,CIBC_CHECKING,2022-09-06,Internet Banking INTERNET TRANSFER 000000227754,204.92,,TRUE
,2095,CIBC_CHECKING,2022-09-06,Internet Banking INTERNET TRANSFER 000000216727,-300,,TRUE
,2096,CIBC_CHECKING,2022-09-06,Internet Banking E-TRANSFER 104229261258 Emery Ma,2540,,TRUE
,2097,CIBC_CHECKING,2022-09-06,Internet Banking INTERNET TRANSFER 000000217769,-2540,,TRUE
,2098,CIBC_CHECKING,2022-09-06,Internet Banking INTERNET TRANSFER 000000229284,-150,,TRUE
,2099,CIBC_CHECKING,2022-09-06,Internet Banking E-TRANSFER 104229257007 andrea vargas corono,200,,TRUE
,389,CIBC_CC,2022-09-02,PAYMENT THANK YOU/PAIEMEN T MERCI,-21.06,,TRUE
,390,CIBC_CC,2022-09-02,PAYMENT THANK YOU/PAIEMEN T MERCI,-135.25,,TRUE
,2100,CIBC_CHECKING,2022-09-02,Electronic Funds Transfer PREAUTHORIZED DEBIT University of B BUSINESS PAD,840,,TRUE
,2101,CIBC_CHECKING,2022-09-02,Internet Banking E-TRANSFER 104227153605 Emery Ma,3000,,TRUE
,2102,CIBC_CHECKING,2022-09-02,Internet Banking INTERNET TRANSFER 000000221878,-3000,,TRUE
,2103,CIBC_CHECKING,2022-09-02,Internet Banking E-TRANSFER 010548614760 NANG SAY,-100,,TRUE
,2104,CIBC_CHECKING,2022-09-01,Electronic Funds Transfer PREAUTHORIZED DEBIT Wealthsimple Investments Inc.,30,,TRUE
,2105,CIBC_CHECKING,2022-09-01,Internet Banking INTERNET TRANSFER 000000202680,-100,,TRUE
,2106,CIBC_CHECKING,2022-09-01,Internet Banking INTERNET TRANSFER 000000202584,21.06,,TRUE
,2107,CIBC_CHECKING,2022-09-01,Internet Banking INTERNET TRANSFER 000000121884,135.25,,TRUE
,2108,CIBC_CHECKING,2022-09-01,Internet Banking INTERNET TRANSFER 000000121765,-940.12,,TRUE
,391,CIBC_CC,2022-08-31,"SQ *COASTAL CONCESSIONS I LANGLEY, BC",6.55,,TRUE
,392,CIBC_CC,2022-08-31,"SQ *TIN LIZZY CONCESSIONS Surrey, BC",8.4,,TRUE
,393,CIBC_CC,2022-08-31,"SQ *CHICKYS CHICKEN Langley, BC",10.5,,TRUE
,394,CIBC_CC,2022-08-31,"SQ *FUSION ICY- JUICY GRE Port Coquitla, BC",12.25,,TRUE
,395,CIBC_CC,2022-08-31,"SAFEWAY #4998 VANCOUVER, BC",24.16,,TRUE
,2109,CIBC_CHECKING,2022-08-31,Branch Transaction SERVICE CHARGE DISCOUNT,-16.95,,TRUE
,2110,CIBC_CHECKING,2022-08-31,Branch Transaction SERVICE CHARGE CAPPED MONTHLY FEE$16.95 RECORD-KEEPING N/A,16.95,,TRUE
,396,CIBC_CC,2022-08-30,"MUJI RICHMOND CENTRE RICHMOND, BC",9.07,,TRUE
,397,CIBC_CC,2022-08-30,"IKEA RICHMOND RICHMOND, BC",5.78,,TRUE
,398,CIBC_CC,2022-08-30,"SAFEWAY #4998 VANCOUVER, BC",-3.52,,TRUE
,399,CIBC_CC,2022-08-30,"SAFEWAY #4998 VANCOUVER, BC",10.63,,TRUE
,400,CIBC_CC,2022-08-29,"LONDON DRUGS 50 VANCOUVER, BC",43.43,,TRUE
,401,CIBC_CC,2022-08-29,"LONDON DRUGS 50 VANCOUVER, BC",8,,TRUE
,402,CIBC_CC,2022-08-29,PAYMENT THANK YOU/PAIEMEN T MERCI,-6.11,,TRUE
,403,CIBC_CC,2022-08-29,PAYMENT THANK YOU/PAIEMEN T MERCI,-29.18,,TRUE
,404,CIBC_CC,2022-08-29,"H-MART DOWNTOWN VANCOUVER, BC",29.13,,TRUE
,405,CIBC_CC,2022-08-29,"DAIRY QUEEN #26987 VANCOUVER, BC",26.99,,TRUE
,2111,CIBC_CHECKING,2022-08-29,Point of Sale - Interac RETAIL PURCHASE 000001525005 UMI EXPRESS/FAI,7.35,,TRUE
,2112,CIBC_CHECKING,2022-08-29,Internet Banking INTERNET TRANSFER 000000215494,-10,,TRUE
,2113,CIBC_CHECKING,2022-08-29,Internet Banking E-TRANSFER 104219646530 Caitlin Lichimo,18,,TRUE
,406,CIBC_CC,2022-08-26,"EvoCarShare Burnaby, BC",6.16,,TRUE
,407,CIBC_CC,2022-08-26,PAYMENT THANK YOU/PAIEMEN T MERCI,-151.97,,TRUE
,2114,CIBC_CHECKING,2022-08-26,Internet Banking INTERNET TRANSFER 000000215944,6.11,,TRUE
,2115,CIBC_CHECKING,2022-08-26,Internet Banking INTERNET TRANSFER 000000215918,29.18,,TRUE
,408,CIBC_CC,2022-08-25,"Uniqlo Canada POS_CA_MTT_ Burnaby, BC",89.38,,TRUE
,409,CIBC_CC,2022-08-25,"TIM HORTONS #0407 BURNABY, BC",12.89,,TRUE
,410,CIBC_CC,2022-08-25,"SAINT GERMAIN BAKERY BURNABY, BC",16.22,,TRUE
,2116,CIBC_CHECKING,2022-08-25,Internet Banking E-TRANSFER 010543387200 FRANKLIN MING MA,-10,,TRUE
,2117,CIBC_CHECKING,2022-08-25,Internet Banking INTERNET TRANSFER 000000112314,151.97,,TRUE
,2118,CIBC_CHECKING,2022-08-25,Internet Banking INTERNET TRANSFER 000000112241,-151.97,,TRUE
,411,CIBC_CC,2022-08-24,"TIM HORTONS # 8166 VANCOUVER, BC",6.49,,TRUE
,412,CIBC_CC,2022-08-24,PAYMENT THANK YOU/PAIEMEN T MERCI,-261.96,,TRUE
,413,CIBC_CC,2022-08-24,"ROYAL BC MUSEUM VICTORIA, BC",10,,TRUE
,414,CIBC_CC,2022-08-23,"BCF - NEWWESTMSTER, QUEEN VICTORIA, BC",20.12,,TRUE
,415,CIBC_CC,2022-08-23,"LOYALTEA VICTORIA, BC",6.56,,TRUE
,416,CIBC_CC,2022-08-23,"BCF - COASTAL CELEBRATION VICTORIA, BC",14.69,,TRUE
,417,CIBC_CC,2022-08-23,"SAFEWAY #4998 VANCOUVER, BC",16.95,,TRUE
,2119,CIBC_CHECKING,2022-08-23,Internet Banking INTERNET TRANSFER 000000206909,261.96,,TRUE
,2120,CIBC_CHECKING,2022-08-23,Internet Banking INTERNET TRANSFER 000000206813,-261.96,,TRUE
,418,CIBC_CC,2022-08-22,"MARBLE SLAB VANCOUVER, BC",9.95,,TRUE
,419,CIBC_CC,2022-08-22,"STARBUCKS 800-782-7282 800-782-7282, ON",25,,TRUE
,420,CIBC_CC,2022-08-22,"BCF-RBI ONLINE BOOKING VICTORIA, BC",73.8,,TRUE
,421,CIBC_CC,2022-08-22,"LONDON DRUGS 50 VANCOUVER, BC",18.67,,TRUE
,422,CIBC_CC,2022-08-22,"UBER CANADA/UBEREATS TORONTO, ON",39.05,,TRUE
,2121,CIBC_CHECKING,2022-08-22,Internet Banking E-TRANSFER 104214425987 Andrew Huang,18,,TRUE
,423,CIBC_CC,2022-08-19,"SP PEKO PRODUCE VANCOUVER, BC",20,,TRUE
,424,CIBC_CC,2022-08-19,"EvoCarShare Burnaby, BC",7.17,,TRUE
,425,CIBC_CC,2022-08-19,"CALLITSPRING.COM MONTREAL, QC",67.19,,TRUE
,426,CIBC_CC,2022-08-19,PAYMENT THANK YOU/PAIEMEN T MERCI,-96.42,,TRUE
,427,CIBC_CC,2022-08-18,"STARBUCKS 800-782-7282 800-782-7282, ON",25,,TRUE
